Unnamed: 0.1,Unnamed: 0,text,author,year,book,title,source,confiance,nb_like,page,url,text_tok,nb_char,nb_lines,haiku,sonnet,vo,quote_react,all_search
167.0,167,"Vent d'automne  
toujours elle voulait arracher  
les fleurs rouges.",Buson Yosa,,66 Haïku,nan,babelio,,650.0,,https://www.babelio.com/auteur/Buson-Yosa/87318/citations?a=a&pageN=13,vent d automne toujours elle voulait arracher les fleurs rouges,68,3,True,False,"Sous la brise d'automne  
ces fleurs rouges  
qu'elle aurait tant aimé arracher.",🦋🎶⛩️🦎🦋🔥꩜🌈,"vent d automne toujours elle voulait arracher les fleurs rougesVent d'automne  
toujours elle voulait arracher  
les fleurs rouges.buson yosa66 haikunan🦋🎶⛩️🦎🦋🔥꩜🌈"
4.0,4,"Neige qui tombait sur nous deux -   
Es-tu la même   
Cette année ?",Bashô Matsuo,,,nan,babelio,,486.0,,https://www.babelio.com/auteur/Basho-Matsuo/69220/citations?a=a&pageN=24,neige qui tombait sur nous deux es tu la meme cette annee,67,3,True,False,nan,⛩️🎶🦋,"neige qui tombait sur nous deux es tu la meme cette anneeNeige qui tombait sur nous deux -   
Es-tu la même   
Cette année ?basho matsuonannan⛩️🎶🦋"
16.0,16,"Soir d'automne   
Il est un bonheur aussi   
Dans la solitude.",Buson Yosa,,,nan,babelio,,333.0,,https://www.babelio.com/auteur/Buson-Yosa/87318/citations?a=a&pageN=13,soir d automne il est un bonheur aussi dans la solitude,62,3,True,False,nan,🦋⛩️,"soir d automne il est un bonheur aussi dans la solitudeSoir d'automne   
Il est un bonheur aussi   
Dans la solitude.buson yosanannan🦋⛩️"
,481,"Le chef Crazy Horse  
regarde le nord en pleurant  
Premières rafales de neige",Kerouac,,Livre des haïkus,nan,pdf,5.0,300.0,,https://fr.annas-archive.org/md5/c92dead0dfec51c90f32164d44804602,le chef crazy horse regarde le nord en pleurant premieres rafales de neige,78,3,True,False,"Chief Crazy Horse  
looks tearfully north  
The first snow flurries",🔥🎶🦎,"le chef crazy horse regarde le nord en pleurant premieres rafales de neigeLe chef Crazy Horse  
regarde le nord en pleurant  
Premières rafales de neigekerouaclivre des haikusnan🔥🎶🦎"
6.0,6,"Mouillé de rosée   
Matinale je vais   
Par où je veux.",Shoichi Taneda,,,nan,babelio,,244.0,,https://www.babelio.com/auteur/Shoichi-Taneda/191893/citations?a=a&pageN=7,mouille de rosee matinale je vais par ou je veux,55,3,True,False,nan,🦎🦋,"mouille de rosee matinale je vais par ou je veuxMouillé de rosée   
Matinale je vais   
Par où je veux.shoichi tanedanannan🦎🦋"
0.0,0,"De temps en temps   
Les nuages nous reposent   
De tant regarder la lune.",Bashô Matsuo,,L'intégrale des haïkus : Edition bilingue français-japonais,nan,babelio,,223.0,,https://www.babelio.com/auteur/Basho-Matsuo/69220/citations?a=a&pageN=24,de temps en temps les nuages nous reposent de tant regarder la lune,74,3,True,False,nan,🦋,"de temps en temps les nuages nous reposent de tant regarder la luneDe temps en temps   
Les nuages nous reposent   
De tant regarder la lune.basho matsuol integrale des haikus edition bilingue francais japonaisnan🦋"
1.0,1,"Sans savoir pourquoi  
J'aime ce monde  
Où nous venons pour mourir.",Natsume Soseki,,,nan,babelio,,220.0,,https://www.babelio.com/auteur/Natsume-Soseki/26696/citations?a=a&pageN=36,sans savoir pourquoi j aime ce monde ou nous venons pour mourir,68,3,True,False,nan,🦋,"sans savoir pourquoi j aime ce monde ou nous venons pour mourirSans savoir pourquoi  
J'aime ce monde  
Où nous venons pour mourir.natsume sosekinannan🦋"
86.0,86,"Être là,  
  tout simplement,  
  au milieu de la neige qui tombe.", Issa,,,nan,babelio,,212.0,,https://www.babelio.com/auteur/-Issa/69056/citations?a=a&pageN=11,etre la tout simplement au milieu de la neige qui tombe,66,3,True,False,nan,🦋🎶,"etre la tout simplement au milieu de la neige qui tombeÊtre là,  
  tout simplement,  
  au milieu de la neige qui tombe.issanannan🦋🎶"
6.0,6,"Matin du premier jour -  
Dans le poêle  
Quelques braises de l'an passé.","Katô Gyôdai,",,,nan,eternels-eclairs,,200.0,,https://www.eternels-eclairs.fr/haikus-japonais.php,matin du premier jour dans le poele quelques braises de l an passe,119,3,True,True,nan,⛩️,"matin du premier jour dans le poele quelques braises de l an passeMatin du premier jour -  
Dans le poêle  
Quelques braises de l'an passé.kato gyodainannan⛩️"
6.0,6,"La fraîcheur -  
J'en fais ma demeure  
Et m'assoupis.",Bashô Matsuo,,L'intégrale des haïkus : Edition bilingue français-japonais,nan,babelio,,167.0,,https://www.babelio.com/auteur/Basho-Matsuo/69220/citations?a=a&pageN=24,la fraicheur j en fais ma demeure et m assoupis,54,3,True,False,nan,🦋,"la fraicheur j en fais ma demeure et m assoupisLa fraîcheur -  
J'en fais ma demeure  
Et m'assoupis.basho matsuol integrale des haikus edition bilingue francais japonaisnan🦋"
